Date,Open,High,Low,Close,Adj Close,Volume
2020-03-20,2.900000,2.910000,2.610000,2.910000,2.910000,8400
2020-03-23,2.780000,2.850000,2.710000,2.850000,2.850000,6200
2020-03-24,2.900000,2.900000,2.790000,2.900000,2.900000,4100
2020-03-25,2.760000,2.800000,2.760000,2.800000,2.800000,2100
2020-03-26,2.800000,3.060000,2.800000,2.960000,2.960000,7600
2020-03-27,3.100000,3.140000,3.070000,3.080000,3.080000,14600
2020-03-30,3.120000,3.150000,3.050000,3.120000,3.120000,4500
2020-03-31,2.990000,2.990000,2.940000,2.980000,2.980000,1000
2020-04-01,3.000000,3.040000,2.920000,2.920000,2.920000,2200
2020-04-02,2.920000,2.920000,2.870000,2.910000,2.910000,9200
2020-04-03,2.700000,2.830000,2.680000,2.740000,2.740000,8000
2020-04-06,2.830000,2.880000,2.830000,2.830000,2.830000,11100
2020-04-07,3.150000,3.150000,2.940000,2.940000,2.940000,2900
2020-04-08,3.110000,3.110000,2.790000,2.880000,2.880000,2900
2020-04-09,2.950000,3.000000,2.910000,2.920000,2.920000,3200
2020-04-13,3.130000,3.130000,2.970000,2.990000,2.990000,4400
2020-04-14,2.980000,3.040000,2.980000,3.020000,3.020000,26600
2020-04-15,3.120000,3.120000,2.980000,2.980000,2.980000,2400
2020-04-16,2.990000,3.010000,2.950000,2.950000,2.950000,2000
2020-04-17,3.000000,3.000000,2.930000,2.980000,2.980000,2600
2020-04-20,2.970000,2.980000,2.930000,2.930000,2.930000,3500
2020-04-21,2.950000,2.980000,2.910000,2.920000,2.920000,5500
2020-04-22,2.920000,2.920000,2.910000,2.910000,2.910000,1000
2020-04-23,2.940000,2.940000,2.910000,2.910000,2.910000,700
2020-04-24,2.940000,2.950000,2.920000,2.920000,2.920000,1800
2020-04-27,2.950000,2.960000,2.920000,2.920000,2.920000,1900
2020-04-28,3.000000,3.100000,3.000000,3.010000,3.010000,15800
2020-04-29,3.150000,3.160000,3.070000,3.070000,3.070000,2300
2020-04-30,2.900000,3.020000,2.900000,3.020000,3.020000,500
2020-05-01,2.930000,3.000000,2.930000,3.000000,3.000000,1300
2020-05-04,2.850000,3.040000,2.850000,2.930000,2.930000,4300
2020-05-05,2.990000,3.080000,2.990000,3.020000,3.020000,1100
2020-05-06,2.940000,2.940000,2.940000,2.940000,2.940000,300
2020-05-07,3.000000,3.050000,3.000000,3.010000,3.010000,12900
2020-05-08,3.090000,3.150000,3.050000,3.150000,3.150000,4400
2020-05-11,3.140000,3.160000,3.080000,3.080000,3.080000,1500
2020-05-12,3.160000,3.280000,3.160000,3.250000,3.250000,5400
2020-05-13,3.200000,3.220000,3.180000,3.180000,3.180000,8300
2020-05-14,3.150000,3.180000,3.150000,3.180000,3.180000,2200
2020-05-15,3.140000,3.160000,3.110000,3.160000,3.160000,2200
2020-05-18,3.230000,3.300000,3.230000,3.290000,3.290000,3900
2020-05-19,3.160000,3.200000,3.150000,3.150000,3.150000,3000
2020-05-20,3.150000,3.180000,3.150000,3.160000,3.160000,10800
2020-05-21,3.250000,3.250000,3.160000,3.160000,3.160000,2100
2020-05-22,3.150000,3.220000,3.150000,3.220000,3.220000,1100
2020-05-26,3.220000,3.250000,3.120000,3.120000,3.120000,500
2020-05-27,3.200000,3.220000,3.200000,3.210000,3.210000,1600
2020-05-28,3.250000,3.280000,3.220000,3.280000,3.280000,900
2020-05-29,3.210000,3.240000,3.140000,3.240000,3.240000,70800
2020-06-01,3.200000,3.230000,3.200000,3.210000,3.210000,3200
2020-06-02,3.310000,3.370000,3.310000,3.370000,3.370000,3400
2020-06-03,3.290000,3.310000,3.270000,3.310000,3.310000,7000
2020-06-04,3.180000,3.180000,3.130000,3.170000,3.170000,1700
2020-06-05,3.190000,3.190000,3.100000,3.190000,3.190000,2900
2020-06-08,3.200000,3.200000,3.150000,3.190000,3.190000,2900
2020-06-09,3.200000,3.220000,3.200000,3.220000,3.220000,500
2020-06-10,3.180000,3.180000,3.180000,3.180000,3.180000,1800
2020-06-11,3.140000,3.150000,3.070000,3.120000,3.120000,34100
2020-06-12,3.100000,3.140000,3.060000,3.100000,3.100000,1900
2020-06-15,3.140000,3.140000,3.090000,3.110000,3.110000,5100
2020-06-16,3.240000,3.240000,3.060000,3.060000,3.060000,3500
2020-06-17,3.090000,3.150000,3.090000,3.140000,3.140000,2000
2020-06-18,3.090000,3.090000,3.020000,3.020000,3.020000,700
2020-06-19,3.180000,3.180000,2.960000,2.960000,2.960000,3500
2020-06-22,3.060000,3.120000,2.990000,3.070000,3.070000,4200
2020-06-23,3.030000,3.060000,3.030000,3.060000,3.060000,2900
2020-06-24,2.950000,2.960000,2.950000,2.960000,2.960000,40600
2020-06-25,2.950000,2.990000,2.950000,2.980000,2.980000,32600
2020-06-26,2.970000,2.970000,2.970000,2.970000,2.970000,400
2020-06-29,3.020000,3.020000,3.000000,3.010000,3.010000,4100
2020-06-30,2.980000,2.980000,2.950000,2.950000,2.950000,2700
2020-07-01,2.950000,2.980000,2.950000,2.980000,2.980000,1000
2020-07-02,3.000000,3.040000,2.990000,3.000000,3.000000,2700
2020-07-06,3.000000,3.010000,2.990000,3.010000,3.010000,10400
2020-07-07,2.970000,2.970000,2.960000,2.960000,2.960000,1300
2020-07-08,2.990000,3.020000,2.970000,2.990000,2.990000,9300
2020-07-09,2.990000,3.000000,2.990000,3.000000,3.000000,1200
2020-07-10,3.010000,3.010000,2.970000,2.970000,2.970000,3300
2020-07-13,2.970000,2.970000,2.970000,2.970000,2.970000,0
